area.code,voice.plan,voice.messages,intl.plan,intl.mins,intl.calls,day.mins,eve.calls,eve.charge,night.calls,customer.calls,churn
415,0,0,1,9.3,4,251.5,104,18.09,67,0,0
408,0,0,1,8.3,8,125.2,119,17.54,139,0,0
408,0,0,0,7.8,1,211.6,80,18.44,60,1,0
510,0,0,0,13.8,3,178.9,110,14.37,100,4,1
408,0,0,0,11.8,7,241.8,83,14.49,104,3,0
510,0,0,0,8.0,4,248.6,85,12.66,109,3,0
415,0,0,0,7.3,4,203.4,117,19.27,105,1,0
415,0,0,0,12.0,3,235.8,94,13.36,99,0,0
415,0,0,0,6.1,2,157.1,72,18.98,111,1,0
415,0,0,0,11.7,4,300.3,100,15.39,73,0,1
408,0,0,0,8.2,7,61.6,85,6.55,99,4,1
415,0,0,0,8.2,3,214.1,104,13.97,113,2,0
408,0,0,0,15.0,2,170.2,102,13.19,76,1,0
415,0,0,0,13.2,2,201.1,74,25.8,119,1,0
415,0,0,1,12.6,5,215.4,79,17.41,109,3,0
408,1,25,0,11.0,2,165.6,95,11.57,90,3,0
415,1,24,0,9.8,4,249.5,98,22.07,68,1,0
510,0,0,0,12.4,1,210.6,85,21.18,88,2,1
510,1,29,0,8.6,7,179.3,86,19.2,78,0,0
408,0,0,0,8.0,5,157.9,101,13.18,84,4,1
510,0,0,0,12.0,2,214.3,76,17.72,98,1,0
415,1,35,0,10.9,9,154.1,84,10.49,57,2,0
415,0,0,0,13.9,4,237.9,93,21.05,68,1,1
510,0,0,0,11.1,2,143.9,105,16.57,94,1,0
415,0,0,0,8.9,4,203.4,104,16.23,119,0,1
415,0,0,0,7.9,9,124.3,107,14.71,62,1,0
415,0,0,0,9.5,7,252.9,112,15.16,105,3,0
415,0,0,0,10.6,7,179.1,81,16.2,91,3,0
408,0,0,0,9.8,5,278.4,113,6.89,137,1,0
415,0,0,0,13.0,4,160.1,72,18.13,72,0,0
415,0,0,0,8.7,3,198.2,76,17.62,113,4,0
408,0,0,0,5.3,5,212.1,104,17.8,96,1,1
415,0,0,0,9.8,7,251.8,126,17.48,109,2,1
510,1,21,0,4.4,8,161.2,83,21.44,92,4,0
415,0,0,0,14.6,5,178.3,76,16.07,102,0,0
415,0,0,0,10.5,6,151.7,105,10.12,100,0,0
408,0,0,0,12.5,9,135.0,106,15.61,102,1,0
408,0,0,0,11.3,2,170.5,109,14.76,75,1,0
408,0,0,0,11.8,4,238.1,98,15.91,115,4,0
510,1,29,0,9.0,6,281.4,76,17.19,113,2,0
510,1,21,0,9.8,3,117.9,115,13.98,86,1,0
415,1,32,0,10.1,1,148.6,97,11.14,142,1,0
408,0,0,0,9.6,7,229.8,121,12.57,108,3,0
408,0,0,0,8.3,8,165.0,83,26.96,86,1,0
415,0,0,0,12.6,2,185.0,94,18.98,91,2,0
408,0,0,0,12.1,4,161.0,113,16.23,113,4,0
408,0,0,0,13.3,7,126.7,90,17.51,114,1,0
415,0,0,0,9.4,3,58.9,59,14.42,88,1,0
510,1,42,1,20.0,6,196.8,122,21.67,126,0,1
510,0,0,0,14.2,3,162.6,109,12.95,122,1,0
415,0,0,0,9.4,4,282.5,48,18.69,115,1,1
510,1,36,0,10.0,3,113.7,82,13.39,118,2,0
408,0,0,0,8.7,5,239.8,111,18.26,81,2,0
408,0,0,0,13.1,7,210.2,77,19.32,116,1,0
408,1,22,0,7.2,3,213.8,86,12.05,123,0,0
510,0,0,0,9.8,4,190.7,117,15.6,103,3,0
415,0,0,0,11.6,3,170.9,95,11.25,89,1,0
510,0,0,0,9.2,5,154.2,98,9.37,117,2,0
408,0,0,0,12.0,3,201.4,104,19.5,106,1,0
415,0,0,0,9.1,3,70.7,87,13.39,82,4,1
510,1,27,0,6.4,6,187.5,103,12.46,129,4,1
408,0,0,0,9.2,4,91.7,123,16.46,86,2,0
408,1,36,0,9.5,4,214.2,117,13.74,102,3,0
415,0,0,0,10.9,2,145.5,114,18.5,123,3,0
408,0,0,0,6.1,5,166.3,86,13.45,80,1,0
415,0,0,0,9.5,3,231.0,140,19.58,120,1,0
408,0,0,0,7.1,1,200.3,102,17.1,60,4,0
408,0,0,0,9.1,10,197.0,128,17.22,80,1,0
510,0,0,1,11.2,3,129.9,83,14.73,130,3,0
510,0,0,0,12.0,3,203.1,113,17.86,129,3,0
510,1,36,0,11.2,8,183.2,76,10.78,71,1,0
415,1,23,0,10.2,5,205.0,60,12.92,59,2,0
510,0,0,0,12.4,3,148.5,84,23.49,112,1,0
415,1,39,0,10.5,4,200.3,97,18.73,116,0,0
415,1,28,0,6.8,5,192.6,74,16.62,139,3,0
510,0,0,0,11.7,4,246.5,84,16.62,96,1,0
408,0,0,1,14.1,7,167.1,87,15.09,132,2,1
415,0,0,0,14.3,6,231.9,94,13.61,98,3,0
408,0,0,0,13.7,3,146.7,78,17.3,110,1,0
408,0,0,1,11.7,4,271.5,126,18.39,105,1,0
408,0,0,0,8.5,5,181.5,98,18.56,103,1,0
408,0,0,0,10.6,6,193.8,125,18.82,67,1,0
415,0,0,0,10.1,7,102.8,91,17.57,105,1,0
408,0,0,0,7.5,6,187.9,117,13.4,86,1,0
408,0,0,0,9.8,4,178.7,138,24.83,101,0,0
415,0,0,0,15.8,7,337.4,116,19.33,114,0,1
510,1,23,0,13.7,2,157.6,96,21.0,112,0,0
510,0,0,0,10.2,2,183.6,72,21.82,79,1,0
510,1,24,0,9.6,4,142.1,129,15.59,114,1,0
415,0,0,0,7.1,5,136.3,108,14.64,101,0,0
415,0,0,0,12.0,6,217.1,111,20.53,103,0,0
510,1,36,0,10.5,5,187.5,116,20.52,105,3,0
415,0,0,0,12.2,1,98.9,122,11.51,82,1,0
415,0,0,0,6.1,3,206.3,89,12.63,91,1,0
415,1,33,0,12.1,2,243.1,92,18.17,104,2,0
510,1,31,0,7.5,3,189.8,133,13.88,126,1,0
415,0,0,0,10.9,3,202.0,128,20.67,90,1,0
408,1,38,0,12.8,4,170.1,116,16.43,73,1,0
510,0,0,0,6.3,2,230.9,90,15.93,53,0,0
408,0,0,0,13.2,2,237.1,105,19.0,79,1,0
408,1,27,0,10.6,5,182.1,98,14.42,86,2,0
415,0,0,0,10.5,4,119.3,101,17.98,86,3,0
415,0,0,0,14.1,2,116.8,93,15.21,150,1,0
408,0,0,0,6.1,5,219.2,125,12.7,104,0,0
415,0,0,0,11.1,7,252.6,125,14.37,106,2,0
415,0,0,0,12.2,3,147.1,107,16.18,115,0,0
415,0,0,0,11.5,3,202.1,86,19.5,113,2,0
408,0,0,0,16.2,10,173.5,76,16.5,112,3,0
408,0,0,0,0.0,0,232.1,112,24.85,112,3,0
510,1,23,1,9.5,5,197.1,136,18.23,103,4,0
415,0,0,0,11.9,1,58.2,118,11.79,91,5,1
408,0,0,0,14.6,7,186.1,57,21.62,127,2,0
510,0,0,1,8.4,3,259.9,122,20.83,121,3,0
408,0,0,0,10.2,4,158.7,139,5.47,103,1,0
415,0,0,0,10.9,3,271.6,108,19.5,121,2,0
510,0,0,0,9.0,3,160.6,126,13.87,112,1,0
408,0,0,0,9.1,3,232.4,95,15.93,107,1,0
415,0,0,0,8.9,4,133.8,94,15.34,115,0,0
415,0,0,0,9.5,2,176.9,104,7.71,69,1,0
408,0,0,0,8.8,4,209.9,77,16.58,119,2,0
415,0,0,0,13.4,2,137.5,88,17.27,131,0,0
408,1,23,0,9.5,4,289.5,111,14.16,88,1,0
415,1,23,0,6.8,6,198.1,86,15.05,92,1,0
415,0,0,0,9.7,8,149.7,115,15.49,126,0,0
510,0,0,0,10.7,6,326.5,113,14.99,102,2,1
510,1,26,1,13.8,7,292.9,97,16.97,127,4,1
408,0,0,0,13.0,3,83.0,106,15.05,89,0,0
415,1,24,0,13.1,5,145.7,136,18.74,96,3,0
408,0,0,0,11.2,1,182.3,93,27.9,131,2,0
415,0,0,0,6.4,8,218.0,94,15.64,110,3,0
510,0,0,0,6.8,3,140.6,51,15.18,83,2,0
415,0,0,0,9.4,4,152.7,80,21.89,93,1,0
415,1,36,0,12.1,2,106.7,77,17.83,117,1,0
415,0,0,0,13.7,8,243.8,72,7.13,84,2,0
415,0,0,0,10.8,5,194.4,95,15.87,90,3,0
510,0,0,0,12.2,5,213.9,70,12.91,124,3,0
510,0,0,0,15.8,7,217.2,89,20.97,89,3,0
415,0,0,0,11.6,10,241.1,98,13.23,109,1,0
415,1,24,0,10.7,3,155.2,106,20.78,68,1,0
408,1,31,0,12.2,6,167.6,118,9.61,121,1,0
510,0,0,1,17.6,4,226.7,115,19.39,93,2,1
415,0,0,0,11.5,6,179.3,98,15.18,131,3,0
415,0,0,0,10.9,3,151.4,76,15.84,120,0,0
415,0,0,0,4.7,7,180.0,82,19.06,91,3,0
415,0,0,0,13.0,2,250.2,118,22.7,114,1,1
415,0,0,0,12.2,6,183.6,98,12.97,99,3,0
408,1,22,0,10.2,6,166.0,103,14.83,68,1,0
415,0,0,0,4.4,2,136.1,96,23.2,104,1,0
408,0,0,0,8.9,6,149.3,122,20.59,104,2,0
408,0,0,0,13.8,1,65.4,76,14.3,113,2,0
415,0,0,0,2.7,4,213.4,94,19.93,123,1,0
415,0,0,0,7.7,2,206.9,78,20.8,136,3,0
408,1,27,0,9.6,3,186.2,83,16.12,139,2,0
415,1,23,0,13.3,3,280.2,92,18.74,102,4,0
415,1,22,0,11.9,3,196.6,92,26.62,108,0,0
408,0,0,1,10.5,2,312.0,100,11.0,74,0,1
415,1,36,1,11.0,6,199.0,111,24.76,92,1,0
415,0,0,0,13.5,2,203.1,126,18.45,122,3,0
415,0,0,0,10.9,2,168.8,87,18.73,113,0,0
415,0,0,1,9.0,5,173.1,105,20.43,117,1,0
510,0,0,0,10.2,2,134.4,98,17.96,125,5,1
408,1,40,0,9.0,9,202.6,128,10.1,98,2,0
408,0,0,0,9.8,7,74.5,98,17.07,101,3,0
510,0,0,0,10.7,9,83.6,91,10.28,110,0,0
415,0,0,0,9.4,6,192.2,116,14.33,87,1,0
510,0,0,0,12.9,5,220.2,125,7.51,79,0,0
415,0,0,1,12.3,2,135.1,102,11.4,81,2,1
415,0,0,0,8.4,2,253.4,151,15.5,103,1,0
408,0,0,0,7.1,2,225.0,63,15.04,110,3,0
408,0,0,0,9.4,3,198.5,60,22.76,75,0,1
408,0,0,0,9.5,5,110.3,93,14.15,96,0,0
415,1,37,0,11.1,3,60.0,80,8.69,106,0,0
510,0,0,0,10.2,5,214.8,58,12.72,66,0,0
408,0,0,0,9.2,2,181.8,98,17.2,97,4,0
510,1,23,0,11.8,4,154.0,137,23.63,112,2,0
415,1,29,0,13.9,11,157.4,80,10.02,79,4,1
415,0,0,0,14.4,7,207.9,109,14.62,143,4,0
408,0,0,0,9.1,8,207.0,83,19.8,108,3,0
415,0,0,1,10.9,3,143.7,82,23.21,81,0,0
408,1,32,0,14.1,8,165.9,93,18.4,86,4,0
510,0,0,0,9.8,3,138.6,117,14.65,92,1,0
415,0,0,0,14.5,8,84.7,86,21.24,95,1,0
408,0,0,1,10.4,2,62.6,126,15.35,80,1,1
510,0,0,0,8.7,4,155.2,123,20.0,80,1,0
510,1,25,0,6.7,9,164.9,105,17.79,55,1,0
408,0,0,0,15.4,1,134.5,112,12.16,61,1,0
415,0,0,0,11.5,3,143.3,108,17.96,96,1,0
510,0,0,0,12.5,1,168.3,73,18.8,136,1,0
408,0,0,0,8.3,6,262.4,113,16.54,85,2,0
510,1,30,0,11.4,6,206.2,91,22.1,83,1,0
510,1,28,0,8.4,9,225.8,117,16.41,100,4,0
408,0,0,0,13.5,6,138.3,78,14.49,98,3,0
408,0,0,1,9.9,3,160.0,96,14.91,99,2,0
415,0,0,0,14.6,3,206.6,117,19.12,100,0,0
415,0,0,0,7.7,3,134.7,83,15.3,104,1,0
415,0,0,0,13.0,3,192.8,96,19.92,101,3,0
408,1,28,0,10.0,3,151.1,79,16.56,114,1,0
415,0,0,0,9.8,5,221.4,103,19.7,100,3,0
510,0,0,1,11.1,4,218.9,85,17.68,99,0,0
408,1,48,0,6.5,2,189.8,67,10.49,106,2,1
415,1,25,0,10.9,6,192.7,105,19.2,59,2,0
510,0,0,1,10.5,6,204.4,90,18.62,114,3,0
415,0,0,0,13.0,4,172.3,108,14.79,119,2,0
415,0,0,0,10.4,6,198.4,108,17.93,71,2,0
415,1,37,0,12.2,1,211.7,84,13.59,80,1,0
415,1,28,0,9.0,2,221.6,100,24.51,105,1,0
415,0,0,0,6.7,5,197.9,109,15.43,56,3,0
408,1,24,0,15.6,3,147.5,108,14.93,102,2,0
510,0,0,0,8.8,5,206.4,102,10.88,84,2,0
408,0,0,0,14.5,4,205.9,86,17.79,84,2,0
510,0,0,0,14.1,5,207.6,63,11.25,98,0,0
510,0,0,0,5.3,3,303.9,114,22.18,89,1,1
415,1,34,0,8.0,2,230.6,99,18.65,94,0,0
510,0,0,0,9.7,3,99.5,80,10.97,124,0,0
510,0,0,0,5.9,4,177.1,112,16.49,108,1,0
415,1,37,0,10.3,5,172.7,116,10.21,86,5,1
510,1,18,0,9.8,3,172.7,113,11.34,70,1,0
510,0,0,0,9.5,5,204.2,152,15.29,109,1,0
415,0,0,0,10.1,5,85.7,67,21.05,85,2,0
415,0,0,0,11.9,1,157.6,58,15.67,99,0,0
415,0,0,0,6.6,9,215.5,117,18.59,91,4,0
415,0,0,0,6.6,5,181.5,88,16.99,114,1,0
415,0,0,0,11.9,4,171.7,81,9.38,111,2,0
415,0,0,0,5.9,2,266.6,168,22.51,119,1,1
408,0,0,0,11.2,3,170.4,68,29.79,87,0,1
415,0,0,0,9.1,4,158.0,114,24.86,89,1,0
510,0,0,0,10.3,10,92.0,77,21.56,90,1,0
415,0,0,0,9.1,5,234.0,114,21.21,70,2,0
415,0,0,0,8.5,10,272.1,118,22.82,105,1,1
408,0,0,0,11.4,3,296.4,89,18.26,107,4,1
510,0,0,0,11.4,2,194.4,82,16.18,107,0,0
415,0,0,0,8.9,4,227.2,92,21.96,74,3,0
415,0,0,0,13.2,2,248.7,118,18.7,78,1,1
415,1,38,0,9.7,6,236.3,112,16.65,82,1,0
510,0,0,0,10.9,3,205.6,93,14.41,64,0,0
408,0,0,0,9.8,4,94.1,122,23.83,77,0,0
408,0,0,0,18.9,2,125.2,107,17.46,111,0,0
408,0,0,0,12.4,3,60.4,120,26.03,46,1,0
415,1,28,0,7.7,4,121.0,100,22.98,76,2,0
415,1,29,0,7.6,3,117.8,114,21.83,76,3,0
510,1,21,0,5.0,5,232.4,118,18.01,102,3,0
510,1,32,1,9.4,2,223.5,74,16.05,101,2,1
510,0,0,0,6.2,3,176.3,97,22.03,78,0,0
415,1,32,0,12.9,3,125.2,105,15.11,89,1,0
408,0,0,0,10.0,3,138.7,113,21.84,74,0,0
415,0,0,0,11.3,4,86.3,92,20.96,91,1,0
408,0,0,0,13.4,5,207.0,121,13.17,112,3,0
510,1,30,0,7.1,3,58.8,107,18.66,118,0,0
408,1,35,0,11.4,4,68.7,69,17.78,42,1,0
408,1,33,0,9.5,4,239.2,112,20.02,95,1,0
510,0,0,0,12.5,3,198.3,86,18.45,96,0,0
510,0,0,0,7.9,2,192.1,135,26.6,94,3,0
415,0,0,0,9.5,2,272.6,74,21.14,111,1,1
415,0,0,0,12.2,5,128.3,93,16.75,152,7,1
510,0,0,0,9.3,4,169.6,87,22.45,78,0,0
510,0,0,0,7.5,4,201.3,66,12.99,101,1,0
408,1,17,0,8.6,4,214.7,90,11.77,44,1,0
510,0,0,0,10.6,2,169.2,77,23.08,104,0,0
415,0,0,0,7.0,7,194.1,110,15.01,136,2,0
510,0,0,0,7.6,3,233.8,94,22.65,104,2,0
408,0,0,0,14.6,2,225.1,127,16.93,102,0,0
415,0,0,0,9.1,1,213.0,71,15.01,126,1,1
415,1,34,0,14.0,7,221.8,85,13.74,62,0,0
408,1,21,0,0.0,0,64.6,86,14.97,84,2,0
510,1,37,0,13.3,3,154.6,103,7.09,99,1,0
415,0,0,0,7.2,8,260.2,120,15.23,119,3,0
415,1,33,0,12.2,5,161.6,90,10.46,101,1,0
510,0,0,0,12.8,3,107.0,67,8.98,74,4,1
510,0,0,0,11.3,8,182.5,95,17.4,100,4,0
415,1,38,1,10.1,4,220.1,71,19.92,85,4,0
408,0,0,0,5.3,3,152.2,132,15.06,87,1,0
415,0,0,0,14.7,9,181.5,88,17.43,82,2,0
408,0,0,1,13.2,2,236.2,85,18.58,97,2,1
415,0,0,0,12.7,2,166.1,93,6.74,98,1,0
408,0,0,1,11.3,4,244.6,80,16.05,114,1,0
408,1,23,0,8.5,2,134.2,132,19.32,96,2,0
408,1,39,1,9.2,4,149.7,75,17.94,90,1,0
408,1,29,0,5.8,4,150.1,103,22.5,97,1,0
408,0,0,1,8.8,6,257.1,127,26.54,82,1,1
415,0,0,0,11.3,6,124.4,81,15.27,99,0,0
415,1,36,0,12.0,5,141.7,113,19.75,131,1,0
408,0,0,0,11.3,3,230.0,138,8.77,136,2,0
408,0,0,0,10.9,2,162.3,118,18.16,81,0,0
415,0,0,0,10.1,9,350.8,94,18.4,100,1,1
415,0,0,0,9.1,3,193.3,123,22.45,115,4,0
415,0,0,0,18.0,3,78.2,108,21.54,100,1,0
415,0,0,0,7.6,5,83.4,137,19.74,114,1,0
415,0,0,0,16.0,2,195.6,120,22.76,76,0,0
415,0,0,0,10.3,6,201.8,114,19.13,82,1,0
408,0,0,0,10.6,6,197.0,102,18.94,91,2,0
415,0,0,1,12.4,1,218.0,88,9.72,95,0,1
415,0,0,0,14.8,2,164.8,96,19.54,108,2,0
415,0,0,0,9.2,6,179.2,99,17.91,58,2,0
415,1,21,0,10.6,5,214.0,114,15.3,82,0,0
415,0,0,0,11.2,7,170.5,116,10.05,111,2,0
415,0,0,1,11.5,2,165.5,112,24.33,89,1,1
415,0,0,0,6.8,4,221.0,113,13.66,96,2,0
510,0,0,0,14.7,2,242.1,93,16.24,50,3,0
415,0,0,0,14.7,4,151.6,96,13.21,112,1,0
415,0,0,1,5.7,4,176.2,81,12.33,92,0,0
415,1,22,1,3.7,5,196.0,82,27.43,120,1,0
408,0,0,0,7.2,4,159.5,90,21.0,82,2,0
415,0,0,0,10.7,7,230.2,79,18.73,111,4,0
415,0,0,0,8.9,1,146.7,99,23.29,98,3,0
510,0,0,0,8.5,5,210.5,83,17.38,53,1,0
415,0,0,0,10.7,3,102.0,139,22.97,105,1,0
510,0,0,0,10.2,6,126.0,73,20.27,100,3,0
415,0,0,0,11.1,2,168.4,89,20.72,102,1,0
415,0,0,0,8.7,3,105.6,129,21.95,77,0,0
510,0,0,0,9.4,3,217.1,100,17.44,91,2,0
510,0,0,0,10.8,2,229.6,108,17.48,91,0,1
415,1,22,0,9.7,5,278.3,143,7.94,42,0,0
408,0,0,0,7.8,4,138.6,93,16.92,137,0,0
415,0,0,0,2.0,2,234.4,109,23.74,121,1,1
510,0,0,0,8.5,4,181.5,112,11.11,118,1,0
415,0,0,0,10.6,5,167.3,68,19.55,118,1,1
415,1,31,0,12.0,1,121.0,98,18.61,110,1,0
415,0,0,0,10.6,3,221.1,94,9.42,112,0,0
408,1,26,0,9.9,2,145.8,89,16.34,96,1,0
510,0,0,0,11.2,6,222.8,107,13.87,112,1,0
415,0,0,0,7.5,3,183.4,115,20.57,100,4,0
415,0,0,1,9.3,5,264.3,115,13.68,73,0,0
415,0,0,0,6.8,7,146.0,79,9.32,108,0,0
510,0,0,0,8.5,5,157.1,122,15.72,59,4,1
510,0,0,1,10.3,3,127.3,81,21.36,88,1,0
415,0,0,0,4.8,4,187.9,117,16.75,108,2,0
408,0,0,0,8.4,5,178.8,72,12.0,99,2,0
415,0,0,0,10.4,6,97.2,90,15.83,92,2,0
415,0,0,0,5.4,1,259.8,117,20.6,72,0,0
415,0,0,0,7.0,5,256.5,90,16.96,122,3,0
415,0,0,0,10.0,3,169.5,87,10.54,92,0,0
415,0,0,0,8.7,3,239.7,110,24.05,88,2,1
510,0,0,1,5.0,2,171.5,103,13.6,102,1,1
408,0,0,0,9.8,2,239.9,106,14.86,93,0,0
408,1,34,0,16.0,6,142.3,79,16.56,81,1,0
415,0,0,0,7.5,6,184.1,73,27.8,106,2,0
510,0,0,0,15.3,1,259.9,94,14.98,112,1,0
415,0,0,0,12.5,3,203.8,76,24.06,83,0,0
415,1,16,0,11.3,3,221.6,123,11.07,108,1,0
510,0,0,1,10.9,4,192.9,101,15.77,130,1,0
415,0,0,0,12.5,7,122.4,108,9.64,97,1,0
415,1,40,0,9.6,9,104.9,93,18.39,128,1,0
408,0,0,0,11.2,5,173.2,106,16.73,128,3,0
510,0,0,0,12.4,7,119.4,92,23.23,153,2,0
510,0,0,0,13.3,2,250.3,90,22.15,104,2,1
415,0,0,0,11.4,4,178.3,110,24.02,98,1,0
510,0,0,0,12.8,2,243.4,97,15.48,94,1,0
415,0,0,0,11.8,5,155.0,101,14.9,125,2,0
408,1,31,0,8.6,3,288.7,102,17.32,49,0,0
510,1,29,0,11.2,3,240.4,91,10.11,108,1,0
415,0,0,0,8.0,3,190.3,96,25.61,134,1,0
510,0,0,0,8.3,4,278.0,74,15.02,126,0,1
510,0,0,0,13.5,3,155.0,106,28.1,123,1,0
415,0,0,0,6.3,2,153.5,102,16.8,86,2,0
510,1,27,0,12.3,6,273.4,99,13.09,112,1,0
408,0,0,0,12.4,4,155.3,95,22.58,67,0,0
510,1,29,0,6.8,3,133.1,82,18.8,103,1,0
510,0,0,0,12.6,5,246.8,121,15.96,109,1,0
408,0,0,1,9.6,7,165.4,126,16.66,110,2,0
510,0,0,0,11.1,6,59.5,106,21.86,86,0,0
510,0,0,0,9.6,4,138.3,138,20.06,110,3,0
510,0,0,0,6.9,5,286.7,121,11.42,122,2,0
415,0,0,0,12.2,3,117.3,61,17.09,82,1,0
510,1,21,0,6.3,3,264.3,118,17.24,92,4,0
408,0,0,0,12.5,5,127.9,124,23.05,76,0,0
408,1,23,0,9.8,2,225.5,105,20.94,81,0,0
510,0,0,0,8.3,3,149.0,105,20.85,94,0,0
415,1,20,0,14.3,9,198.9,88,23.29,76,1,0
408,0,0,0,11.1,1,256.4,100,23.28,101,1,1
415,0,0,0,14.8,2,264.8,112,20.86,115,1,1
415,0,0,0,9.3,2,98.2,69,15.34,69,2,0
408,0,0,0,9.7,7,159.8,64,22.44,70,2,0
415,1,28,0,6.0,3,190.6,122,18.71,80,3,0
415,0,0,0,11.0,3,184.0,119,10.23,86,0,0
415,0,0,0,9.6,5,261.8,104,18.75,91,1,0
408,0,0,0,9.6,9,147.9,117,19.41,90,3,0
415,1,18,0,10.1,5,106.4,113,9.19,111,1,0
408,0,0,0,5.9,2,133.7,87,16.6,89,0,0
415,1,23,0,8.5,5,193.5,90,18.72,111,0,0
415,0,0,1,13.6,3,178.2,94,14.26,111,3,1
510,1,36,0,10.5,5,226.2,125,15.44,102,3,1
415,0,0,0,11.6,4,170.4,71,17.02,100,1,0
415,1,32,0,11.1,5,70.9,121,14.17,105,3,0
510,1,34,0,17.2,9,194.4,110,21.67,115,2,0
415,0,0,0,10.6,2,240.3,83,13.99,106,1,0
408,0,0,0,9.5,6,75.0,87,21.14,83,3,0
408,0,0,0,6.3,3,69.1,100,11.59,53,1,0
510,1,33,0,6.2,4,96.6,98,26.81,117,4,1
510,0,0,0,9.9,6,148.5,42,12.45,83,3,0
510,0,0,0,11.7,5,258.1,106,13.72,110,1,0
510,1,23,0,7.6,2,149.7,118,13.81,115,3,0
408,0,0,0,8.1,2,149.8,98,13.97,124,1,0
408,0,0,0,11.2,4,190.4,107,13.44,92,2,0
408,0,0,0,11.6,6,181.4,54,21.57,94,1,0
408,0,0,0,5.3,3,151.1,104,15.93,93,1,0
415,0,0,0,8.1,4,155.7,63,14.76,97,0,0
510,0,0,0,11.0,2,222.3,101,19.68,75,3,0
415,1,16,0,6.7,2,149.4,113,11.2,87,0,0
